qHardWords,qLength,hasMedia,qDaleChall,Value,Round,Show,aLength
3,4,0,15.68,1600,1,6092,2
4,14,0,8.84,1200,1,5153,1
2,2,0,19.53,200,0,4340,1
5,15,0,9.64,800,0,5939,4
3,15,0,7.71,400,1,4690,1
2,16,0,6.4,800,1,5993,3
10,46,1,8.44,600,0,6122,2
1,6,0,6.57,400,1,5699,1
8,21,0,10.69,2000,1,4499,1
2,5,0,10.2,2000,1,5451,1
5,12,0,10.81,600,0,5599,1
6,22,1,9.79,2000,1,5952,1
6,22,0,9.19,1000,0,5192,2
6,18,0,9.79,400,1,4363,1
4,11,0,9.92,1000,0,6150,1
0,3,0,0.15,2000,1,5595,2
5,8,0,13.9,2000,1,4858,1
13,53,1,9.31,2000,1,6121,2
4,17,1,8.59,2000,1,5968,2
0,3,0,0.1,400,0,6260,1
3,13,0,7.88,400,0,4820,1
3,15,0,7.54,800,1,5753,2
4,21,0,7.13,400,1,5539,4
4,7,0,14.46,800,1,4161,1
6,17,0,10.05,600,0,4240,2
8,19,0,11.23,1600,1,5428,1
5,21,1,8.08,400,0,5738,1
6,17,0,10.05,1200,1,4836,1
3,10,0,8.87,600,0,5457,1
8,21,1,11.55,1200,1,5890,1
3,20,0,6.6,200,0,6140,1
5,20,0,8.58,400,1,4205,2
6,22,0,9.03,800,1,6281,2
9,22,0,11.19,600,0,5015,1
9,28,0,10.24,1600,1,4360,1
7,17,0,11.34,800,1,4703,3
7,16,0,12.23,1600,1,4653,1
3,11,0,8.49,600,0,5353,3
5,12,0,11.36,800,0,5973,2
3,14,0,7.71,1000,0,6180,1
1,6,0,6.57,400,1,4311,1
3,9,0,9.35,200,0,4739,2
10,28,0,10.82,400,1,4251,1
7,13,0,13.44,400,0,5493,2
7,19,0,10.4,200,0,5902,1
6,14,0,11.1,800,0,5641,1
6,21,0,8.5,800,0,5743,2
3,4,0,15.68,200,0,5079,1
6,21,0,9.19,200,0,4453,1
7,20,0,9.66,800,0,4248,1
4,8,0,11.93,2000,1,4958,3
7,20,0,10.16,400,0,5910,2
5,15,0,9.97,800,0,6016,2
4,7,0,13.01,200,0,5497,2
9,14,0,14.48,800,0,4145,1
7,21,0,9.94,1200,1,6119,2
5,12,0,10.81,400,1,6131,1
6,22,0,9.03,600,0,5209,1
7,17,0,10.94,800,1,5998,3
5,13,0,10.03,800,0,6084,2
3,9,0,9.35,200,0,5336,1
3,12,0,7.88,1600,1,4787,2
9,31,1,9.75,400,0,5045,2
8,17,0,12.33,400,1,4080,3
8,15,0,12.8,800,0,6204,2
7,16,0,11.34,400,1,5524,2
6,10,0,13.61,200,0,6208,2
4,14,0,9.14,1200,1,4929,1
6,16,1,11.1,1000,0,6148,2
3,6,0,11.83,800,0,5212,1
5,11,0,11.36,600,0,4141,2
8,18,0,11.55,800,0,4683,2
4,8,0,11.93,1200,1,5601,2
1,6,0,7.04,2000,1,5301,1
