x,y
-539.3716457,302.7736599
144.0213103,-59.45425579
909.8135812,-16.43072419
145.7793322,140.9809167
-703.8763437,93.22014871
292.0246532,-251.4597368
-739.5860889,-109.0899083
-902.273712,683.0292708
-169.4845645,-77.06283633
574.8718514,365.3700136
-542.3689993,302.6200574
-887.2966945,683.8621646
-712.8647351,92.72951282
-395.54518,1112.128035
700.1453356,-28.22015362
888.0842094,-217.9711625
-650.6696399,697.1600415
424.2882048,-644.6590668
-368.6977902,-488.8917685
-975.7399156,-523.0010905
737.0864214,-26.13600054
555.3732117,-36.35149988
-975.6294886,1079.535035
-51.14093596,330.1997303
335.1924369,-449.3511462
398.3292213,-646.1223187
-780.0509171,-511.9899613
908.8146058,-16.48137413
-210.9457174,-480.0334617
-894.7579066,1084.083881
-1032.125218,-125.5279978
-26.70807299,-69.05714415
1070.795029,-207.697924
133.8014844,140.2848889
-236.3767889,-80.83798707
272.4028741,1149.649822
-87.55701427,728.7905103
-234.8538667,319.8923298
-453.5648947,-493.6619238
-729.6012314,-108.5331842
173.030552,743.441745
604.5310287,-233.8972429
737.55664,-426.7358995
-298.5175284,116.0031087
399.2036977,1156.768546
711.8906776,172.7584639
-832.965593,-514.9777895
688.7465884,1173.037485
12.7004859,-467.4602719
-910.6075258,-719.6511776
973.2418974,387.7614399
551.1434202,163.733032
1027.683791,791.452166
-894.8651717,-518.4658086
-431.8352083,-292.1162028
-769.0104918,289.8777843
-458.556693,-493.9356603
-77.10255546,328.7561993
528.4161876,-37.8632808
1002.14042,-411.8736901
160.7023695,-659.4558311
-756.0922769,-510.6176934
-30.93932657,131.0346258
932.4856407,-616.1005491
-111.5760974,-73.8121179
1054.05798,-408.9579031
968.7202343,-13.11684365
242.102848,-254.2625886
630.7261659,-432.74291
-944.2630066,-120.5909762
-866.9133571,-516.8752708
541.8669081,-437.7399758
795.7027513,-623.7960439
222.1345586,-255.3837742
-400.0648773,711.2400032
-760.3153893,-310.5859359
1007.368404,-611.9011216
135.5065274,-460.5610928
53.74777095,1137.364809
245.8606585,-53.73248115
-941.2664272,-120.435397
710.8354834,-628.5556751
117.0657973,-60.9800954
